,0,1,2,3,4,5,6
643,74900,2016,86000,1968,1,39,0
644,7699,1998,364000,1781,1,32,-
645,36000,2012,321000,1968,1,39,-
646,37994,2004,382620,2460,1,48,-
647,27900,2010,180000,1598,1,16,1
648,24900,2011,204801,1390,0,35,1
649,11900,2008,347000,1896,1,16,-
650,147300,2023,1,1500,0,41,-
651,5500,2020,23542,999,0,40,-
652,11000,2002,218000,2771,0,32,-
653,75900,2019,25795,999,0,16,1
654,33900,2016,155000,1395,0,25,-
655,55900,2015,42000,1197,0,16,1
656,85899,2019,207703,1968,1,32,1
657,69500,2015,108000,1968,1,32,1
658,26900,2009,157000,1390,0,16,2
659,13900,2008,171000,1198,0,35,1
660,18900,2005,312000,2460,1,46,1
661,19900,2006,300000,1896,1,7,2
662,10000,2004,326000,1896,1,16,1
663,8900,2006,78000,1198,0,14,1
664,45700,2012,221333,1968,1,47,2
665,3799,1999,300000,1390,1,16,-
666,105900,2018,128000,1798,0,32,-
667,38900,2010,260000,1896,1,9,-
668,114500,2018,130000,1984,0,41,2
669,43000,2014,192000,1968,1,32,1
670,119500,2021,6910,1968,1,7,0
671,41500,2007,217285,2967,1,46,-
672,21900,2008,270000,1896,1,32,-
673,90000,2018,94288,1598,1,41,1
674,44900,2012,167000,1598,1,47,2
675,43900,2014,239640,1968,1,16,1
676,18900,2009,217000,1896,1,16,1
677,4100,1988,227000,1272,1,16,-
678,26999,2009,249985,1896,1,47,2
679,144900,2020,27000,1968,1,2,0
680,115000,2018,105000,1968,1,39,0
681,14500,2005,294000,1968,1,47,1
682,72900,2017,219000,1968,1,32,0
683,129000,2010,250000,1968,1,8,-
684,26900,2009,196500,1390,0,16,2
685,49500,2017,122000,1598,1,16,1
686,12500,2003,284233,1968,1,16,-
687,36900,2017,54815,999,0,49,1
688,27000,2009,170251,1390,0,16,2
689,69900,2015,198000,1968,1,32,1
690,36900,2014,94000,1598,1,7,0
691,23490,2008,201000,1968,1,16,1
692,6500,2004,379000,1896,1,16,0
693,65900,2015,288,1968,1,32,0
694,46800,2020,227000,1598,1,16,-
695,27900,2009,232000,1896,1,7,-
696,6900,1989,369000,1272,1,16,-
